ModelID,Num_ModelID,Model_Name,Model_Type,RDBMS_Type
46B365E8-987F-666C-DC6B-2952582E4596,69,"Logical",Logical,,
88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",Relational,Oracle Database 11g,
