FK_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Child_Table_Name,Referred_Table_Name,Engineer,Delete_Rule,Child_Table_ID,Num_Child_Table_ID,Referred_Table_ID,Num_Referred_Table_ID,Referred_Key_ID,Num_Referred_Key_ID,Number_Of_Columns
"Course_Instructor_FK",88DA3422-423D-0E7A-9011-D5AFA937B828,70,CF2B186E-2598-F8DE-D657-3209B558AB1D,101,,Course,Instructor,Y,NO ACTION,3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,5A296CFF-1A16-A5C7-5903-B15157D51651,72,2CA70C66-3C13-2C8E-9E93-B6C01FD036E7,98,1,
"Course_Module_code_FK",88DA3422-423D-0E7A-9011-D5AFA937B828,70,A7FBF5D3-D6E9-FA99-D38F-683BFD4FAA7A,102,,Course,Module_code,Y,NO ACTION,3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,79DEF205-4A13-F722-5D21-FC35F7FBB0E9,73,A4919486-754F-28E6-298B-B975F95B77E3,99,1,
"Student_Course_FK",88DA3422-423D-0E7A-9011-D5AFA937B828,70,E51CE78E-58C4-659E-A144-83AC1C377124,103,,Student,Course,Y,NO ACTION,1580A7CC-4D36-4EBA-AA59-0117712EBC64,75,3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,8E5351E7-0C18-2051-936E-CC400EDC5682,95,1,
"Student_Seat_FK",88DA3422-423D-0E7A-9011-D5AFA937B828,70,8726A8C1-39B8-DACF-8FB8-DA7EEA8FD7A5,104,,Student,Seat,Y,NO ACTION,1580A7CC-4D36-4EBA-AA59-0117712EBC64,75,A433B330-22E0-6879-7FE0-624AB99D84EB,74,7508B103-7376-E066-1516-3F2980AFC725,100,1,
