Table_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Engineer,Spatial_Table,OID_is_PK,OID_is_User_Defined,Include_Scripts_Into_DDL
"Course",3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,,88DA3422-423D-0E7A-9011-D5AFA937B828,70,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Instructor",5A296CFF-1A16-A5C7-5903-B15157D51651,72,,88DA3422-423D-0E7A-9011-D5AFA937B828,70,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Module_code",79DEF205-4A13-F722-5D21-FC35F7FBB0E9,73,,88DA3422-423D-0E7A-9011-D5AFA937B828,70,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Seat",A433B330-22E0-6879-7FE0-624AB99D84EB,74,,88DA3422-423D-0E7A-9011-D5AFA937B828,70,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Student",1580A7CC-4D36-4EBA-AA59-0117712EBC64,75,,88DA3422-423D-0E7A-9011-D5AFA937B828,70,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
