Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"Student_PK",EB5C8D1D-F449-B9B0-4A41-BBBDBFB795A0,92,,1580A7CC-4D36-4EBA-AA59-0117712EBC64,75,Primary Constraint,,N,Y,"Student",N,,,,
"Student_Course_FK",3075D523-5778-9547-9F02-B37E15F308F9,93,,1580A7CC-4D36-4EBA-AA59-0117712EBC64,75,Foreign Key,,N,Y,"Student",N,,,,
"Student_Seat_FK",B93DDE1D-9160-7437-9F71-9954838C792E,94,,1580A7CC-4D36-4EBA-AA59-0117712EBC64,75,Foreign Key,,N,Y,"Student",N,,,,
"Course_PK",8E5351E7-0C18-2051-936E-CC400EDC5682,95,,3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,Primary Constraint,,N,Y,"Course",N,,,,
"Course_Instructor_FK",FBA46AE2-1044-FC67-E63B-2BEE441F26E8,96,,3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,Foreign Key,,N,Y,"Course",N,,,,
"Course_Module_code_FK",83B378B9-3252-0562-0DCA-7CFF2288DA87,97,,3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,Foreign Key,,N,Y,"Course",N,,,,
"Instructor_PK",2CA70C66-3C13-2C8E-9E93-B6C01FD036E7,98,,5A296CFF-1A16-A5C7-5903-B15157D51651,72,Primary Constraint,,N,Y,"Instructor",N,,,,
"Module_code_PK",A4919486-754F-28E6-298B-B975F95B77E3,99,,79DEF205-4A13-F722-5D21-FC35F7FBB0E9,73,Primary Constraint,,N,Y,"Module_code",N,,,,
"Seat_PK",7508B103-7376-E066-1516-3F2980AFC725,100,,A433B330-22E0-6879-7FE0-624AB99D84EB,74,Primary Constraint,,N,Y,"Seat",N,,,,
