FK_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Child_Table_Name,Referred_Table_Name,Engineer,Delete_Rule,Child_Table_ID,Num_Child_Table_ID,Referred_Table_ID,Num_Referred_Table_ID,Referred_Key_ID,Num_Referred_Key_ID,Number_Of_Columns
"Customer_Package_FK",F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,DE7CF113-2C4B-BF51-A6DA-909C77F25BA1,138,,Customer,Package,Y,NO ACTION,331A1377-6EA0-79F2-620C-3FF8D25BC6C8,73,15A18D05-3670-4E82-C1DE-F33D65AC5496,76,F6C18963-C020-7172-816C-AD657A899016,119,1,
"PackageActivity_Activity_FK",F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,6101EC1B-9FCE-9C01-2D31-7B61CCE69F47,139,,PackageActivity,Activity,Y,NO ACTION,44C2606A-4710-3433-D143-1456D4AB1750,77,35362C93-5A3E-0B64-5C5D-03D4F129BCA5,72,180EC3DD-B822-7229-3ABF-1F73D52B1E08,124,1,
"PackageActivity_PackageDays_FK",F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,0BB1704D-F08F-BE1A-7475-F1EB3B7C0FA1,140,,PackageActivity,PackageDays,Y,NO ACTION,44C2606A-4710-3433-D143-1456D4AB1750,77,88959D74-1FE2-2E76-769E-8539A46428F0,78,57A7D2EB-BA1F-D49D-B50C-FFE95C803F22,132,2,
"PackageDays_Package_FK",F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,56401789-C3CB-832E-B467-1DDBC793D344,141,,PackageDays,Package,Y,NO ACTION,88959D74-1FE2-2E76-769E-8539A46428F0,78,15A18D05-3670-4E82-C1DE-F33D65AC5496,76,F6C18963-C020-7172-816C-AD657A899016,119,1,
"PackageDestination_Dest_FK",F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,1874B47D-470B-5C80-41B0-0D43D20E667C,142,,PackageDestination,Destination,Y,NO ACTION,689D9F50-A09B-20AE-D9E6-39F0EEC7824B,79,5E0F02BA-E773-F4F7-DD57-D3D924F15A4E,75,6C4D3BA3-1C12-660A-CB68-FD24D1AF3A84,128,1,
"PackageDestination_Package_FK",F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,74AE43DE-D9C2-7DD3-E1B3-99D66AB33447,143,,PackageDestination,Package,Y,NO ACTION,689D9F50-A09B-20AE-D9E6-39F0EEC7824B,79,15A18D05-3670-4E82-C1DE-F33D65AC5496,76,F6C18963-C020-7172-816C-AD657A899016,119,1,
"Package_FK",F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,446D7EEE-E94B-CFFC-67C1-6EBF9380B7C7,144,,TourGuide,Package,Y,NO ACTION,1FDCAA50-BF3C-C8E5-11BB-B2837D171FAA,81,15A18D05-3670-4E82-C1DE-F33D65AC5496,76,F6C18963-C020-7172-816C-AD657A899016,119,1,
"Staff_Designation_FK",F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,A63CF20C-F505-D483-4FD3-B3A76142EA17,145,,Staff,Designation,Y,NO ACTION,E605240A-2EA9-15C6-26F1-4EE3CE08D030,80,896E9E22-92BB-B5DD-682B-B39157A7EB03,74,2F62F89E-6864-85D1-61D5-6B0B5A289782,134,1,
"Staff_FK",F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,28C6314E-EE04-1356-A277-B0864B42C17C,146,,TourGuide,Staff,Y,NO ACTION,1FDCAA50-BF3C-C8E5-11BB-B2837D171FAA,81,E605240A-2EA9-15C6-26F1-4EE3CE08D030,80,6302EBEE-207A-BEB5-BA90-B729FA3C46E5,135,1,
