181,180,8,Amar,Gurung,Amar Gurung,ÿ1986-02-19,,110,140,113,121,mmcAmar Gurung.jpeg,,,,,,12/16/2019,Admin
182,181,8,Karma Tashi ,Gurung,Karma Tashi  Gurung,12/9/91,,110,,113,121,mmckarma T Gurung.jpeg,,,,,,12/16/2019,Admin
183,182,8,Raj Kumar,Pandit,Raj Kumar Pandit,ÿ2000-01-15,,110,140,113,121,mmcRaj Kumar Pandit.jpeg,,,,,,12/16/2019,Admin
184,183,8,Sunny,Gurung,Sunny Gurung,2/26/86,,110,139,113,121,mmcSunny Gurung.jpeg,,,,,,12/16/2019,Admin
185,184,8,Tashi Namgyal,Gurung,Tashi Namgyal Gurung,ÿ1984-04-12,,110,ÿ139,113,121,mmcTashi Namgyal Gurung.jpeg,,,,,,12/16/2019,Admin
186,185,8,Jiwan,Gurung,Jiwan Gurung,2/5/02,,110,,113,121,mmcJiwan Gurung.jpeg,,,,,,12/16/2019,Admin
187,186,8,Deep,Karki,Deep Karki,1/9/98,,110,,113,121,mmcDeep Karki.jpeg,,1,,,,12/16/2019,Admin
188,187,8,Ranjan,Bista,Ranjan Bista,11/26/93,,110,,113,121,mmcRanjan Bista.jpeg,,,,,,12/16/2019,Admin
189,188,8,Aditya,Chaudhary,Aditya Chaudhary,ÿ1996-04-19,,110,,113,121,mmcAditya Chaudhary.jpeg,,,,,1,12/16/2019,Admin
190,189,8,Anjan,Bista,Anjan Bista,ÿ1998-05-15,,110,,113,121,mmcAnjan Bista.jpeg,,,,,,12/16/2019,Admin
191,190,8,Ashok,Baral,Ashok Baral,ÿ1993-04-30,,110,139,113,121,mmcAshok Baral.jpeg,,,,,,12/16/2019,Admin
192,191,8,Bimal,Rana,Bimal Rana,ÿ1993-11-05,,110,142,113,121,mmcBimal Rana.jpeg,2,,,,,12/16/2019,Admin
193,192,8,Kamal,Shrestha (Caotain),Kamal Shrestha (Caotain),7/10/97,,110,140,113,121,mmcKamal Shrestha.jpeg,,,,,,12/16/2019,Admin
194,193,8,Milan,Gurung,Milan Gurung,10/11/99,,110,140,113,121,mmcMilan Gurung.jpeg,,,,,,12/16/2019,Admin
195,194,8,Suraj,Bishowkarma,Suraj Bishowkarma,ÿ1988-08-13,,110,140,113,121,mmcSuraj Bishowkarma.jpeg,,,,,,12/16/2019,Admin
196,195,8,Ashim,Gurung,Ashim Gurung,11/20/02,,110,141,113,121,mmcAshim Gurung.jpeg,,,,,,12/16/2019,Admin
197,196,8,Sushil,Lama,Sushil Lama,ÿ1993-07-01,,110,141,113,121,mmcSushil Lama.jpeg,,,,,,12/16/2019,Admin
198,197,8,Koara Larba Florent,Kone,Koara Larba Florent Kone,4/7/94,,110,141,120,121,mmcKoara L F Kone.jpeg,,1,,,,12/16/2019,Admin
199,198,8,Ekraj,Budhathoki,Ekraj Budhathoki,3/22/98,,110,,113,121,mmcEkraj Budhathoki.jpeg,,,,1,,12/16/2019,Admin
200,199,8,Bijaya,Gurung,Bijaya Gurung,2/7/99,,110,,113,121,mmcBijaya Gurung.jpeg,,,,,,12/16/2019,Admin
201,200,8,Umesh,Rai,Umesh Rai,9/30/96,,110,141,113,121,mmcUmesh Rai.jpeg,,,,,,12/16/2019,Admin
202,201,8,Dayananda Singh,Elangbam,Dayananda Singh Elangbam,ÿ1996-02-27,,110,141,114,121,mmcDayananda S Elangbam.jpeg,1,,,,,12/16/2019,Admin
203,202,8,Pujan,Uperkoti,Pujan Uperkoti,ÿ1996-05-09,,110,141,113,121,mmcPujan Uperkoti.jpeg,,,,,1,12/16/2019,Admin
204,203,8,Vidal Luis,Chissano,Vidal Luis Chissano,12/2/97,,110,140,120,121,mmcVidal L Chissano.jpeg,,,,,,12/16/2019,Admin
205,204,8,Jagajeet,Shrestha,Jagajeet Shrestha,7/6/92,,110,141,113,121,mmcJagajeet Shrestha.jpeg,1,1,,,,12/16/2019,Admin
206,205,8,Femi Joshua,Adewumi,Femi Joshua Adewumi,9/3/94,,110,142,113,121,mmcFemi J Adewumi.jpeg,,,,,,12/16/2019,Admin
207,206,9,Kapil,Dhakal,Kapil Dhakal,ÿ1992-10-27,,110,,113,121,npcKapil Dhakal.jpeg,,,,,,12/16/2019,Admin
208,207,9,Ajit,Bhandari,Ajit Bhandari,ÿ1994-02-07,,110,141,113,121,npcAjit Bhandari.jpeg,,,,,,12/16/2019,Admin
209,208,9,Bhola Nath,Silwal,Bhola Nath Silwal,ÿ1987-01-04,,110,,113,121,npcBhola N Silwal.jpeg,,,,,,12/16/2019,Admin
210,209,9,Ravi Shankar,Paswan,Ravi Shankar Paswan,ÿ1993-06-18,,110,142,113,121,npcRavi S Paswan.jpeg,,,,,,12/16/2019,Admin
211,210,9,Roshan,Khadka,Roshan Khadka,ÿ1992-11-10,,110,,113,121,npcRoshan Khadka.jpeg,,,,,,12/16/2019,Admin
212,211,9,Anjan,Rai,Anjan Rai,ÿ1994-12-15,,110,140,113,121,npcAnjan Rai.jepg,,,,,,12/16/2019,Admin
213,212,9,Bikash,Rai,Bikash Rai,ÿ1993-05-29,,110,141,113,121,npcBikash Rai.jepg,,,,,,12/16/2019,Admin
214,213,9,Buddha,Tamang,Buddha Tamang,ÿ1991-06-15,,110,142,113,121,npcBuddha Tamang.jepg,,,,,,12/16/2019,Admin
215,214,9,Hem,Tamang,Hem Tamang,ÿ1993-09-05,,110,141,113,121,npcHem Tamang.jepg,,,,,1,12/16/2019,Admin
216,215,9,Hemanta,Shrestha,Hemanta Shrestha,ÿ1995-08-28,,110,141,113,121,npcHemanta Shrestha.jpeg,,,,,,12/16/2019,Admin
217,216,9,Man,Bahadur Pariyar,Man Bahadur Pariyar,ÿ1991-08-08,,110,140,113,121,npcMan B pariyar.jpeg,,,,,,12/16/2019,Admin
218,217,9,Nir Kumar,Rai,Nir Kumar Rai,ÿ1991-12-05,,110,142,113,121,npcNir K Rai.jpeg,,,,,,12/16/2019,Admin
219,218,9,Santosh,Hemrun,Santosh Hemrun,ÿ1994-01-23,,110,140,113,121,npcSANTOSH HEMRUM.jpeg,,,,,,12/16/2019,Admin
220,219,9,Shatrudhan,Kumar Chaudhary,Shatrudhan Kumar Chaudhary,ÿ1993-09-16,,110,139,113,121,npcShatrudhan K Chaudhary.jpeg,,1,,,,12/16/2019,Admin
221,220,9,Suman,Lama,Suman Lama,ÿ1995-06-17,,110,142,113,121,npcSuman Lama.jpeg,,,,,,12/16/2019,Admin
222,221,9,Tej,Tamang,Tej Tamang,ÿ1998-02-14,,110,141,113,121,npcTej Tamang.jpeg,,,,,,12/16/2019,Admin
223,222,9,Bharat,Shah,Bharat Shah,8/31/91,,110,142,113,121,npcBharat Shah.jpeg,,,,,,12/16/2019,Admin
224,223,9,Ju Manu,Rai,Ju Manu Rai,ÿ1984-01-29,,110,142,113,121,npcJu M Rai.jpeg,,,,,,12/16/2019,Admin
225,224,9,Buddha Bal,Tamang,Buddha Bal Tamang, 2000-08-09,,110,141,113,121,npcBuddha Bal Tamang .jpeg,,,,,,12/16/2019,Admin
226,225,9,Tirtha,Bahadur Rana,Tirtha Bahadur Rana,12/1/95,,110,,113,121,npcTIRTHA B RANA.jpeg,,,,,,12/16/2019,Admin
227,226,9,Prabesh,Kunwar,Prabesh Kunwar,ÿ1996-11-27,,110,141,113,121,npcPrabesh Kunwar .jpeg,,,,,,12/16/2019,Admin
228,227,9,Soujan,Rai,Soujan Rai,12/2/95,,110,141,113,121,npcSoujan Rai.jpeg,,,,,,12/16/2019,Admin
229,228,9,Ram Chandra,Wajee,Ram Chandra Wajee,ÿ1997-06-30,,110,142,113,121,npcRam C Wajee.jpeg,,,,,,12/16/2019,Admin
230,229,9,Bishal,Basnet,Bishal Basnet,ÿ1998-11-10,,110,141,113,121,npcBishal Basnet.jpeg,,,,,,12/16/2019,Admin
231,230,10,Nabin,Gurung,Nabin Gurung,3/8/02,,110,140,113,121,nrtNabin Gurung,,,,,,12/16/2019,Admin
232,231,10,Sanam,Sodemba Limbu,Sanam Sodemba Limbu,1/28/02,,110,140,113,121,nrtSanam Limbu,,,,,,12/16/2019,Admin
233,232,10,Sujan,Sharma Dhital,Sujan Sharma Dhital,1/24/02,,110,140,113,121,nrtSujan S Dhital,,,,,,12/16/2019,Admin
234,233,10,Kritish Ratna,Chhunju,Kritish Ratna Chhunju,4/11/03,,110,141,113,121,nrtKritish R Chhunju,,,,,,12/16/2019,Admin
235,234,10,Bikram,Dhimal,Bikram Dhimal,2/20/90,Morang,110,140,113,121,nrtBikramDhimal,,,,,,12/16/2019,Admin
236,235,10,Ajit,Prajapati,Ajit Prajapati,10/27/93,Kathmandu,110,139,113,121,nrtAjit Prajapati,,1,,,,12/16/2019,Admin
237,236,10,Anil,Dhami,Anil Dhami,11/8/92,,110,140,113,121,nrtAnilDhami,,,,,,12/16/2019,Admin
238,237,10,Ashok,Thapa,Ashok Thapa,3/2/98,,110,141,113,121,nrtAshokThapa,,,,,,12/16/2019,Admin
239,238,10,Rajesh,Pariyar,Rajesh Pariyar,1/29/00,,110,142,113,121,nrtRajeshPariyar,,,,,,12/16/2019,Admin
240,239,10,Rujit,Pudasaini,Rujit Pudasaini,3/4/01,,110,141,113,121,nrtRujit Pudasaini,,,,,,12/16/2019,Admin
241,240,10,Sakal,Regmi,Sakal Regmi,9/19/95,,110,140,113,121,nrtSakal Regmi.jpeg,,,,,,12/16/2019,Admin
242,241,10,Sanjip,Shrestha,Sanjip Shrestha,10/8/99,,110,140,113,121,nrtSanjip Shrestha.jpeg,,,,,,12/16/2019,Admin
243,242,10,Saroj,Tamang,Saroj Tamang,10/8/99,,110,140,113,121,nrtSaroj Tamang.jpeg,2,,,,,12/16/2019,Admin
244,243,10,Man Kumar,Rai,Man Kumar Rai,9/27/02,,110,141,113,121,nrtManKRai.jpeg,,,,,,12/16/2019,Admin
245,244,10,Tapan,Karki,Tapan Karki,11/11/96,,110,142,113,121,nrtTapan Karki.jpeg,,,,,,12/16/2019,Admin
246,245,10,Darshan,Gurung,Darshan Gurung,4/9/02,,110,141,113,121,nrtDarshan Gurung.jpeg,1,,,,,12/16/2019,Admin
247,246,10,Pujan,Hona,Pujan Hona,5/20/02,,110,139,113,121,nrtPujanHona.jpeg,,,,,,12/16/2019,Admin
248,247,10,Kashim,Rai,Kashim Rai,11/8/99,,110,141,113,121,nrtKashim Rai.jpeg,,,,,,12/16/2019,Admin
249,248,10,Andre Thierry,Biyik Biyik,Andre Thierry Biyik Biyik,7/6/93,,110,140,113,121,nrtBiyik.jpg,,,,,1,12/16/2019,Admin
250,249,10,Junior,Onguene Nkengue,Junior Onguene Nkengue,12/27/97,,110,141,120,121,nrtJunior .jpeg,2,,,,,12/16/2019,Admin
251,250,10,Jordan Junior,Ndemba Owona,Jordan Junior Ndemba Owona,12/27/97,,110,142,120,121,nrtJunior.jpg,1,,,1,1,12/16/2019,Admin
252,251,10,Arik,Bista,Arik Bista,3/17/00,,110,141,113,121,nrtArik Bista.jpg,,1,,,,12/16/2019,Admin
253,252,10,Prakash,Budhathoki(Captain),Prakash Budhathoki(Captain),5/21/93,,110,141,113,121,nrtPrakash Budathoki.jpeg,,,,,,12/16/2019,Admin
254,253,11,Rohit,Karki,Rohit Karki,12/22/02,,110,,113,121,scRohit Karki.jpeg,,,,,,12/16/2019,Admin
255,254,11,Saurab,Karki,Saurab Karki,ÿ1993-11-16,,110,141,113,121,scSaurab Karki.jpeg,,,,,,12/16/2019,Admin
256,255,11,Karna Bahadur,Subba,Karna Bahadur Subba,ÿ1985-04-23,,110,142,113,121,scKarna B Subba.jpeg,,,,,,12/16/2019,Admin
257,256,11,Manish,Ghale,Manish Ghale,2/19/91,,110,140,113,121,scManish Ghalejpeg,,,,,,12/16/2019,Admin
258,257,11,Binaya,Shrestha,Binaya Shrestha,ÿ1990-11-09,,110,139,113,121,scBinaya Shrestha.jpeg,,1,,,,12/16/2019,Admin
259,258,11,Bishal,Shahi,Bishal Shahi,ÿ2002-01-31,,110,,113,121,scBishal Shahi.jpeg,,,,,,12/16/2019,Admin
260,259,11,Rajendra,Rawal,Rajendra Rawal,ÿ1986-06-28,,110,141,113,121,scRajendra Rawal.jpeg,,,,,,12/16/2019,Admin
261,260,11,Ajayi Martins,Kayode,Ajayi Martins Kayode,ÿ1993-10-14,,110,142,120,121,scAjayi M Kayode.jpeg,,,,,,12/16/2019,Admin
262,261,11,Bishnu,Bahadur Sunar,Bishnu Bahadur Sunar,ÿ1979-12-31,,110,,113,121,scBishnu B Sunar.jpeg,,,,,1,12/16/2019,Admin
263,262,11,Ravi,Silwal,Ravi Silwal,ÿ1990-01-28,,110,,113,121,scRavi Silwal.jpeg,,,,,,12/16/2019,Admin
264,263,11,Janak,Koirala,Janak Koirala,1/23/98,,110,,113,121,scJanak Koirala.jpeg,,,,,,12/16/2019,Admin
265,264,11,Samir,Rai,Samir Rai,1/9/95,,110,,113,121,scSamir Rai.jpeg,,,,,,12/16/2019,Admin
266,265,11,Laxman,Gurung,Laxman Gurung,ÿ1991-07-13,,110,,113,121,scLaxman Gurung.jpeg,,,,,,12/16/2019,Admin
267,266,11,Tikaraj,Gurung,Tikaraj Gurung,ÿ2001-09-26,,110,142,113,121,scTikaraj Gurung.jpeg,,,,,,12/16/2019,Admin
268,267,11,Amit,Tamang,Amit Tamang,1/17/98,,110,,113,121,scAmit Tamang.jpeg,,1,,,,12/16/2019,Admin
269,268,11,Ernest,tampi,Ernest tampi,ÿ1992-05-26,,110,,120,121,scErnest tampi.jpeg,,,,,1,12/16/2019,Admin
270,269,11,Raja Babu,Thapa,Raja Babu Thapa, 1994-08-06,,110,139,113,121,scRaja B Thapa.jpeg,,,,,,12/16/2019,Admin
271,270,11,Roman,Limbu,Roman Limbu,ÿ2000-03-23,,110,140,113,121,scRoman Limbu.jpeg,,,,,,12/16/2019,Admin
272,271,11,Roshan,Pahari,Roshan Pahari,ÿ1999-09-13,,110,141,113,121,scRoshan Pahari.jpeg,,,,,,12/16/2019,Admin
273,272,11,Dipesh,Ale Magar,Dipesh Ale Magar,ÿ2001-01-14,,110,142,113,121,scDipesh A Magar.jpeg,1,,,,,12/16/2019,Admin
274,273,11,Laxman,Ruchal (Captain),Laxman Ruchal (Captain),ÿ1990-04-10,,110,142,113,121,scLaxman Ruchal.jpeg,1,,,1,,12/16/2019,Admin
275,274,11,Messouke Etiegnie Oloumou,Pierre Jean Marie,Messouke Etiegnie Oloumou Pierre Jean Marie,ÿ1998-02-20,,110,142,120,121,scMessouke E O P J Marie.jpeg,,,,,1,12/16/2019,Admin
276,275,11,Pratap,Bajracharya,Pratap Bajracharya,ÿ1995-11-01,,110,141,113,121,scPratap Bajracharya.jpeg,,,,,,12/16/2019,Admin
277,276,11,Rahul,Khadgi,Rahul Khadgi,6/3/99,,110,142,113,121,scRahul Khadgi.jpeg,,,,,,12/16/2019,Admin
278,277,11,Saroj,Dahal,Saroj Dahal,ÿ1990-05-08,,110,140,113,121,scSaroj Dahal.jpeg,,,,,,12/16/2019,Admin
279,278,11,Suvash,Gurung,Suvash Gurung,ÿ1991-09-07,,110,141,113,121,scSuvash Gurung.jpeg,,,,,,12/16/2019,Admin
280,279,11,Kshitiz Raj,G.T.,Kshitiz Raj G.T.,ÿ2000-01-30,,110,142,113,121,scKshitiz Raj G.T.jpeg,,,,,,12/16/2019,Admin
281,280,11,Ajay,Maharjan,Ajay Maharjan,ÿ1989-05-03,,110,139,113,121,scAjay Maharjan.jpeg,,,,,,12/16/2019,Admin
282,281,12,Sabin,Khadka,Sabin Khadka,10/13/94,,110,,113,121,sycSabin Khadka.jpeg,,,,,,12/16/2019,Admin
283,282,12,Raj,Shahi,Raj Shahi,5/4/88,,110,140,113,121,sycRaj Shahi.jpeg,,,,,,12/16/2019,Admin
284,283,12,Dipesh,Shrestha,Dipesh Shrestha,12/4/92,,110,141,113,121,sycDipesh Shrestha.jpeg,,,,,,12/16/2019,Admin
285,284,12,Krishna Gopal,Shrestha,Krishna Gopal Shrestha,6/26/90,,110,142,113,121,sycKrishna Gopal Shrestha.jpeg,,,,,,12/16/2019,Admin
286,285,12,Anish,Shrestha,Anish Shrestha,7/16/93,,110,,113,121,sycAnish Shrestha.jpeg,,,,,,12/16/2019,Admin
287,286,12,Pradip,Bhandari,Pradip Bhandari,ÿ1997-08-13,,110,139,113,121,sycPradip Bhandari.jpeg,,,2,,,12/16/2019,Admin
288,287,12,Tirtha Bahadur,Basnet,Tirtha Bahadur Basnet,4/13/92,,110,142,113,121,sycTirtha Bahadur Basnet.jpeg,,,,,,12/16/2019,Admin
289,288,12,Susan,Lama,Susan Lama,3/12/89,,110,140,113,121,sycSusan Lama.jpeg,,,,,,12/16/2019,Admin
290,289,12, Ramesh,Tamang, Ramesh Tamang,3/1/92,,110,140,113,121,sycRamesh Tamang.jpeg,,,,,,12/16/2019,Admin
291,290,12,Binod,KC,Binod KC,9/25/92,,110,140,113,121,sycBinod KC.jpeg,,,,,,12/16/2019,Admin
292,291,12,Deepak,Gupta,Deepak Gupta,5/11/96,,110,142,113,121,sycDeepak Gupta.jpeg,,,,,,12/16/2019,Admin
293,292,12,Krishna,Rana bhat,Krishna Rana bhat,1/2/96,,110,140,113,121,sycKrishna Rana bhat.jpeg,,,,,,12/16/2019,Admin
294,293,12,Rajkumar,Ghising,Rajkumar Ghising,7/12/81,,110,142,113,121,sycRajkumar Ghising.jpeg,,,,,,12/16/2019,Admin
295,294,12,Alik,Rumba,Alik Rumba,4/27/97,,110,,113,121,sycAlik Rumba.jpeg,,,,,,12/16/2019,Admin
296,295,12,Sandesh,Neupane,Sandesh Neupane,12/8/00,,110,,113,121,sycSandesh Neupane.jpeg,,,,,,12/16/2019,Admin
297,296,12,Barsat,Gurung,Barsat Gurung,9/18/81,,110,141,113,121,sycBarsat Gurung.jpeg,,,,,,12/16/2019,Admin
298,297,12,Mbei,Andre Ekwem,Mbei Andre Ekwem, 1998-09-11,,110,,120,121,sycMbei Andre Ekwem.jpeg,,,,,,12/16/2019,Admin
299,298,12,Manish,Thapa,Manish Thapa,2/1/02,,110,141,113,121,sycManish Thapa.jpeg,,1,,,,12/16/2019,Admin
300,299,12,Purna,Bahadur Shrestha,Purna Bahadur Shrestha,1/24/01,,110,140,113,121,sycPurna Bahadur Shrestha.jpeg,,,,,,12/16/2019,Admin
301,300,12,Santa,Bahadur Gurung,Santa Bahadur Gurung,6/1/98,,110,,113,121,sycSanta Bahadur Gurung.jpeg,,,,,,12/16/2019,Admin
302,301,12,Nishan,Majhi,Nishan Majhi,3/2/00,,110,,113,121,sycNishan Majhi.jpeg,,,,,,12/16/2019,Admin
303,302,12,Meshack Abel,Mwankina,Meshack Abel Mwankina,10/12/87,,110,,120,121,sycMeshack Abel Mwankina.jpeg,,,,,,12/16/2019,Admin
304,303,12,Hisub,Thapaliya,Hisub Thapaliya,1/16/99,,110,141,113,121,sycHisub Thapaliya.jpeg,,,,,,12/16/2019,Admin
305,304,12,Sunil,Ghalan,Sunil Ghalan,3/26/00,,110,140,113,121,sycSunil Ghalan.jpeg,,,,,,12/16/2019,Admin
306,305,12,Deepak,Bhusal,Deepak Bhusal,1/6/92,,110,140,113,121,sycDeepak Bhusal.jpeg,,,,,1,12/16/2019,Admin
307,306,12,Bishnu Kumar,K.C.,Bishnu Kumar K.C.,11/8/00,,110,139,113,121,sycBishnu Kumar K.C..jpeg,,,,,,12/16/2019,Admin
308,307,13,Mikchhen,Tamang,Mikchhen Tamang,7/28/98,Morang,110,141,113,121,tscMikchhenTamang,,,,,,12/16/2019,Admin
309,308,13,Rupesh,KC,Rupesh KC,5/13/91,Nuwakot,110,141,113,121,tscRupresh Kc,,,,,1,12/16/2019,Admin
310,309,13,Purna,Chemjong,Purna Chemjong,6/29/91,Morang,110,139,113,121,tscPurna Chemjong,,,,,,12/16/2019,Admin
311,310,13,Susaan,Shrestha,Susaan Shrestha,2/28/00,Kathmandu,110,142,113,121,tscSusan Shrestha,,,,,,12/16/2019,Admin
312,311,13,Jeevan,Gurung,Jeevan Gurung,10/4/97,Syanja,110,140,113,121,tscJeevan Gurung,,,,,,12/16/2019,Admin
313,312,13,Dipesh,Ghale,Dipesh Ghale,12/6/98,Makwanpur,110,141,113,121,tscDpesh Ghale,,,,,,12/16/2019,Admin
314,313,13,Sushil,Rai,Sushil Rai,5/23/93,Morang,110,142,113,121,tscSushil Rai,1,,,,,12/16/2019,Admin
315,314,13,Ananta,Tamang,Ananta Tamang,1/14/98,Jhapa,110,140,113,121,tscAnanta Tamang,,,,,,12/16/2019,Admin
316,315,13,Ashok,Khawas,Ashok Khawas,3/14/96,Morang,110,140,113,121,tscAshok Khawas,,,,,,12/16/2019,Admin
317,316,13,Karan,Rawat,Karan Rawat,6/6/00,Sunsari,110,140,113,121,tscKaran Rawat,,,,,,12/16/2019,Admin
318,317,13,Bijay,Shrestha,Bijay Shrestha,3/23/03,Sindhuli,110,141,113,121,tscBijay Shrestha,,,,,,12/16/2019,Admin
319,318,13,Bijaya,Bhujel,Bijaya Bhujel,10/31/96,Bhojpur,110,142,113,121,tscBijaya Bhujel,,,,,,12/16/2019,Admin
320,319,13,Sushan,Shrestha,Sushan Shrestha,5/19/96,Bhaktapur,110,142,113,121,tscSushan Shrestha,,1,,,,12/16/2019,Admin
321,320,13,Yogesh,Gurung,Yogesh Gurung,3/17/02,Kaski,110,141,113,121,tscYogesh Gurung,,,,,,12/16/2019,Admin
322,321,13,Bikram,Lama(Captain),Bikram Lama(Captain),2/23/89,Kavrepalanchowk,110,141,113,121,tscBikramLama,,,,,1,12/16/2019,Admin
323,322,13,Nirajan,Maharjan,Nirajan Maharjan,1/17/02,Lalipur,110,140,113,121,tscNirajan Maharjan,,,,,,12/16/2019,Admin
324,323,13,Prabin Kumar,Sainju,Prabin Kumar Sainju,1/17/91,Pokhara,110,141,113,121,tscPrabin Kumar Sainju,,,,,,12/16/2019,Admin
325,324,13,Guillaume Yves,Priso Njanga,Guillaume Yves Priso Njanga,1/21/91,,110,139,120,121,tscPrinso,,,1,,,12/16/2019,Admin
326,325,13,Aliu Oladiran,Erinoso,Aliu Oladiran Erinoso,12/31/92,,110,141,120,121,tscErinoso,,,,,,12/16/2019,Admin
327,326,13,Wasiu Olalekan,Hamzat,Wasiu Olalekan Hamzat,3/2/92,,110,142,120,121,tscHazmat,,,,,,12/16/2019,Admin
328,327,13,Managya,Nakarmi,Managya Nakarmi,3/23/04,Kathmandu,110,141,113,121,tscManagya Nakarmi,,,,,,12/16/2019,Admin
329,328,13,Ranjan,Pun,Ranjan Pun,10/28/02,Nawalparasi,110,142,113,121,tscRanjan Pun,,,,,,12/16/2019,Admin
330,329,14,Bharat,Khawas (Captain),Bharat Khawas (Captain),10/29/91,,110,142,113,121,tacBharat Khawas.jpeg,1,,,,,12/16/2019,Admin
331,330,14,Nawayug,Shrestha,Nawayug Shrestha,6/8/90,,110,142,113,121,tacNawayug Shrestha.jpeg,1,,,,,12/16/2019,Admin
332,331,14,Santosh,Tamang,Santosh Tamang,ÿ1994-08-06,,110,140,113,121,tacSantosh Tamang.jpeg,,,,,,12/16/2019,Admin
333,332,14,Jitendra,Karki,Jitendra Karki,8/26/87,,110,,113,121,tacJitendra Karki.jpeg,,,,,,12/16/2019,Admin
334,333,14,Tanka Bahadur,Basnet,Tanka Bahadur Basnet,12/12/87,,110,,113,121,tacTanka B Basnet.jpeg,,,,,,12/16/2019,Admin
335,334,14,Bikash,Khawas,Bikash Khawas,7/29/01,,110,,113,121,tacBikash Khawas.jpeg,,,,,1,12/16/2019,Admin
336,335,14,Bimal,Pandey,Bimal Pandey,ÿ1990-01-21,,110,,113,121,tacBimal Pandey.jpeg,,,,,,12/16/2019,Admin
337,336,14,Bikash,Tamang,Bikash Tamang,1/27/94,,110,,113,121,tacBikash Tamang.jpeg,,,,,1,12/16/2019,Admin
338,337,14,Bibek,Basnet,Bibek Basnet,1/11/96,,110,,113,121,tacBIbek Basnet.jpeg,,,,,,12/16/2019,Admin
339,338,14,Dipak,Gurung,Dipak Gurung,10/3/91,,110,,113,121,tacDipak Gurung.jpeg,,,,,,12/16/2019,Admin
340,339,14,Suman,Aryal,Suman Aryal,1/31/00,,110,,113,121,tacSuman Aryal.jpeg,,,,1,,12/16/2019,Admin
341,340,14,Bikesh,Kuthu,Bikesh Kuthu,6/24/93,,110,139,113,121,tacBikesh Kuthu.jpeg,,,2,,,12/16/2019,Admin
342,341,14,Biwas,Chaudhary,Biwas Chaudhary,ÿ2001-02-16,,110,,113,121,tacBiwas Chaudhary.jpeg,,,,,,12/16/2019,Admin
343,342,14,Tek Bahadur,Budhathoki,Tek Bahadur Budhathoki,7/21/86,,110,,113,121,tacTek B Budhathoki.jpeg,1,,,,,12/16/2019,Admin
344,343,14,Youddha,Shahi,Youddha Shahi,9/1/85,,110,140,113,121,tacYouddha Shahi.jpeg,,,,,,12/16/2019,Admin
345,344,14,Sudil,Rai,Sudil Rai,6/18/95,,110,142,113,121,tacSudil Rai.jpeg,,,,,,12/16/2019,Admin
346,345,14,Ashish,Shakya,Ashish Shakya,ÿ1992-07-26,,110,141,113,121,tacAshish Shakya.jpeg,,,,,,12/16/2019,Admin
347,346,14,Dinesh,Henjan,Dinesh Henjan,ÿ2001-02-03,,110,,113,121,tacDinesh Henjan.jpeg,1,,,,3,12/16/2019,Admin
348,347,14,Sesehang,Angdembe,Sesehang Angdembe,11/3/00,,110,,113,121,tacSesehang Angdembe.jpeg,,,,,1,12/16/2019,Admin
349,348,14,George prince,Karki,George prince Karki,10/26/93,,110,142,113,121,tacGeorge P Karki.jpeg,,,,,,12/16/2019,Admin
350,349,14,Gandip Kumar,Khadka,Gandip Kumar Khadka,8/24/91,,110,139,113,121,tacGandip K Khadka.jpeg,,,,,,12/16/2019,Admin
351,350,14,Sushant,chaudhary,Sushant chaudhary,12/14/99,,110,142,113,121,tacSushant Chaudhary.jpeg,,,,,,12/16/2019,Admin
352,351,14,Ramesh,Bhujal,Ramesh Bhujal,11/9/94,,110,141,113,121,tacRamesh Bhujal.jpeg,,,,,,12/16/2019,Admin
353,352,14,Amrit,Basnet,Amrit Basnet,12/19/86,,110,142,113,121,tacAmrit Basnet.jpeg,,,,,,12/16/2019,Admin
354,353,14,Amrit,khawas,Amrit khawas,4/13/85,,110,140,113,121,tacAmrit Khawas.jpeg,,,,,,12/16/2019,Admin
355,354,14,Ishwor,Baniya,Ishwor Baniya,1/1/96,,110,140,113,121,tacIshwor Baniya.jpeg,,,,,,12/16/2019,Admin
356,355,14,Rajeev,Gurung,Rajeev Gurung,10/9/90,,110,142,113,121,tacRajeev Gurung.jpeg,,,,,,12/16/2019,Admin
357,356,14,Anish,Shrestha,Anish Shrestha,ÿ1995-10-01,,110,139,113,121,tacAnish Shrestha.jpeg,,,,,,12/16/2019,Admin
