25,25,1,Pradip,Lama,Pradip Lama,10/1/98,,110,,113,121,apfPradip Lama.jpeg,,,,,,12/16/2019,Admin
26,26,1,Akash,Budha Magar,Akash Budha Magar,ÿ2002-02-14,,110,,113,121,apfAkash Budha Magar.jpeg,,,,,,12/16/2019,Admin
27,27,1,Prakash,Pun,Prakash Pun, 2000-05-26,,110,,113,121,apfPrakash Pun.jpeg,,,,,,12/16/2019,Admin
28,28,1,Rohit,Thapa,Rohit Thapa,ÿ1992-11-04,,110,,113,121,apfRohit Thapa.jpeg,,,,,,12/16/2019,Admin
29,29,1,Mani Kumar,Lama,Mani Kumar Lama,ÿ1996-03-24,,110,,113,121,apfMani K Lama.jpeg,,,,,,12/16/2019,Admin
30,30,1,Man Bahadur,Rana Magar,Man Bahadur Rana Magar,ÿ1993-11-22,,110,,113,121,apfMan B Rana Magar.jpeg,,,,,,12/16/2019,Admin
31,31,1,Amit,Lama,Amit Lama,11/21/99,,110,,113,121,apfAmit Lama.jpeg,,,,,,12/16/2019,Admin
32,32,1,Bikash,Lama,Bikash Lama,7/23/97,,110,,113,121,apfBikash Lama.jpeg,,,,,,12/16/2019,Admin
33,33,2,Birjesh,Chaudhary,Birjesh Chaudhary,7/9/02,,110,142,113,121,bbcBirjesh Chaudhary.jpeg,,,,,,12/16/2019,Admin
34,34,2,Jeevan,Bhattarai,Jeevan Bhattarai,ÿ2000-03-30,,110,139,113,121,bbcJeevan Bhattarai.jpeg,,,,,,12/16/2019,Admin
35,35,2,Anjal,Maharjan,Anjal Maharjan,ÿ2002-02-04,,110,140,113,121,bbcAnjal Maharjan.jpeg,,,,,,12/16/2019,Admin
36,36,2,Dipenk,Raj Singh,Dipenk Raj Singh,ÿ1996-09-30,,110,140,113,121,bbcDipenk R Singh.jpeg,,,,,,12/16/2019,Admin
37,37,2,Jaya,Gurung,Jaya Gurung, 2002-11-30,,110,141,113,121,bbcJaya Gurung.jpeg,1,,,,,12/16/2019,Admin
38,38,2,Manoj,Rai,Manoj Rai,ÿ1995-03-16,,110,140,113,121,bbcManoj Rai.jpeg,,1,,,,12/16/2019,Admin
39,39,2,Padam,Bhattarai,Padam Bhattarai,ÿ2002-01-08,,110,140,113,121,bbcPadam Bhattarai.jpeg,,,,,,12/16/2019,Admin
40,40,2,Rajat,Tiwari,Rajat Tiwari,ÿ2001-07-11,,110,141,113,121,bbcRajat Tiwari.jpeg,,,,,,12/16/2019,Admin
41,41,2,Ritik Kumar,Khadka,Ritik Kumar Khadka,ÿ2001-04-23,,110,141,113,121,bbcRitik K Khadka.jpeg,,,,,,12/16/2019,Admin
42,42,2,Roshan,Dong,Roshan Dong,ÿ2002-09-13,,110,140,113,121,bbcRoshan Dong.jpeg,,,,,,12/16/2019,Admin
43,43,2,Roshan,Rana Magar,Roshan Rana Magar,ÿ2002-10-19,,110,141,113,121,bbcRoshan Rana Magar.jepg,1,,,,,12/16/2019,Admin
44,44,2,Bishal,Sunar,Bishal Sunar,ÿ2002-02-09,,110,139,113,121,bbcBishal Sunar.jpeg,,,1,,,12/16/2019,Admin
45,45,2,Prithivi,Chaudhary,Prithivi Chaudhary,4/4/02,,110,140,113,121,bbcPrithivi Chaudhary.jpeg,,1,,,,12/16/2019,Admin
46,46,2,Subit,Karki,Subit Karki,ÿ1994-08-30,,110,140,113,121,bbcSubit Karki.jpeg,,,,,,12/16/2019,Admin
47,47,2,Raju,Shrestha,Raju Shrestha,ÿ1999-04-17,,110,142,113,121,bbcRaju Shrestha.jpeg,,,,,,12/16/2019,Admin
48,48,2,Bijay,Gurung,Bijay Gurung,ÿ1985-10-11,,110,141,113,121,bbcBijaya Gurung.jpeg,,,,,,12/16/2019,Admin
49,49,2,Rabindra,Basnet,Rabindra Basnet,ÿ1991-01-12,,110,140,113,121,bbcRabindra Basnet.jpeg,,,,,,12/16/2019,Admin
50,50,2,Tajudeen Adekunle,Busari,Tajudeen Adekunle Busari,ÿ1991-12-03,,110,140,120,121,bbcTajudeen A Busari.jpeg,,,,,,12/16/2019,Admin
51,51,2,Randip,Paudel,Randip Paudel,ÿ2002-10-06,,110,140,113,121,bbcRandip Paudel.jpeg,,,,,1,12/16/2019,Admin
52,52,2,Shishir,Lekhi,Shishir Lekhi,ÿ2002-01-27,,110,141,113,121,bbcShishir Lekhi.jpeg,,,,,,12/16/2019,Admin
53,53,2,Anil,Gurung (Captain),Anil Gurung (Captain),ÿ1986-09-17,,110,142,113,121,bbcAnil Gurung.jpeg,,,,,,12/16/2019,Admin
54,54,2,Uttam,Gurung,Uttam Gurung,ÿ1991-01-11,,110,141,113,121,bbcUttam Gurung.jpeg,,,,,,12/16/2019,Admin
55,55,3,Junichi,Ozawa,Junichi Ozawa,ÿ1991-08-18,,110,,113,121,cycJunichi Ozawa.jpeg,,,,,,12/16/2019,Admin
56,56,3,Hayato,Wakino,Hayato Wakino,ÿ1993-04-10,,110,142,113,121,cycHayto Wakino.jpeg,,,,,1,12/16/2019,Admin
